ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,16,17,0.06640625,0.9,200,0.45,0.8345613182821807,0.21200227962208096,0.485,0.7971452779442023,0.2819621360270954,0.06
canonical,16,18,0.0703125,0.9,200,0.34,0.8375292978074579,0.23675023589114075,0.455,0.7935273882616471,0.3002259532636604,0.08
canonical,16,19,0.07421875,0.9,200,0.3,0.8555405761960091,0.23216774496881587,0.4,0.818592601347744,0.29633339254537394,0.075
canonical,16,21,0.08203125,0.9,200,0.225,0.8575308369597223,0.25724584774265313,0.34,0.8180521837831034,0.31258832889957555,0.1
canonical,16,22,0.0859375,0.9,200,0.19,0.8781427560551823,0.24134236870448036,0.29,0.842943600265707,0.2993249276016885,0.085
canonical,16,23,0.08984375,0.9,200,0.14,0.9154974287859865,0.1987279445359399,0.225,0.8890503644442032,0.2472803012235751,0.055
canonical,16,25,0.09765625,0.9,200,0.135,0.924067839323107,0.19189938429523112,0.21,0.8992077028526788,0.2404149149031892,0.045
canonical,16,26,0.1015625,0.9,200,0.08,0.9486539653037142,0.15368153798354825,0.14,0.9332362118096249,0.19038988828291611,0.025
canonical,16,27,0.10546875,0.9,200,0.07,0.9544618118385247,0.15504061871790578,0.12,0.9397460222684435,0.1927957995685385,0.035
canonical,16,29,0.11328125,0.9,200,0.07,0.9567075706598837,0.14909155536118732,0.14,0.938716076743171,0.1868248145638125,0.01
canonical,16,30,0.1171875,0.9,200,0.035,0.9706438852934582,0.12468452583750178,0.07,0.9604298469462194,0.1511372852423515,0.0
canonical,16,32,0.125,0.9,200,0.03,0.9813853054210594,0.09043365050839385,0.09,0.9731704141172267,0.10680202073865398,0.0
canonical,16,33,0.12890625,0.9,200,0.02,0.9924166842742826,0.02273636554560801,0.04,0.9875355574233927,0.04171755644297043,0.0
canonical,16,34,0.1328125,0.9,200,0.01,0.995456945076475,0.01711369750549962,0.025,0.9926507268722087,0.0314474026605287,0.0
canonical,16,36,0.140625,0.9,200,0.0,0.9972141801141211,0.01131761681674079,0.01,0.9951649833370994,0.020443785992913535,0.0
canonical,16,37,0.14453125,0.9,200,0.005,0.9974059819606274,0.012094063646109304,0.005,0.9960969758309113,0.01703881118877994,0.0
canonical,16,38,0.1484375,0.9,200,0.0,0.9987991037732606,0.006172347924702398,0.005,0.9978129036666823,0.01184719398222137,0.0
canonical,16,40,0.15625,0.9,200,0.005,0.9943368694806781,0.053936451188200674,0.015,0.9917894684032094,0.06841897280452203,0.0
canonical,16,41,0.16015625,0.9,200,0.005,0.9938988111261636,0.05374509771579494,0.02,0.9909191347704278,0.06861067480410932,0.0
canonical,16,46,0.1796875,0.9,200,0.005,0.9961673007342084,0.049958204945339375,0.01,0.9948459949417434,0.06490619925709006,0.0
canonical,16,52,0.203125,0.9,200,0.0,0.9999409619054649,0.0008279753221739454,0.0,0.9998833042775561,0.00164619574647195,0.0
canonical,16,58,0.2265625,0.9,200,0.0,0.9999997092391,2.439506688895236e-07,0.0,1.0,3.306526743925937e-16,0.0
canonical,16,64,0.25,0.9,200,0.0,0.9999997127676036,2.480597455766365e-07,0.0,1.0,3.0857410204115467e-16,0.0
